VarName;Variance;Standard Deviation;Mean;Median;Min;Max;Skewness;Kurtosis;Mode;1st quantile;3rd quantile;NA
DIV.EFETIVO;0,031;0,18;0,48;0,52;0,00;0,87;-0,77;-0,12;0,00;0,37;0,60;0
DIV.VL.PRODANI;0,022;0,15;0,22;0,20;0,00;0,76;0,52;-0,55;0,00;0,088;0,33;0
DIV.VL.T;0,017;0,13;0,29;0,30;0,00;0,69;-0,43;-0,44;0,00;0,20;0,38;0
DIV.VL.P;0,025;0,16;0,20;0,20;0,00;0,73;0,31;-0,80;0,00;0,048;0,32;0
DIV.PLANT.T;0,0074;0,086;0,30;0,32;0,00;0,61;-1,28;2,34;0,00;0,26;0,36;0
DIV.AQU.VL;0,0072;0,085;0,026;0,00;0,00;0,66;3,53;12,55;0,00;0,00;0,00;0
DIV.EXTV.VL;0,01;0,10;0,088;0,04;0,00;0,47;0,80;-0,57;0,00;0,00;0,17;0
DIV.SILV.VL;0,019;0,14;0,084;0,00;0,00;0,75;1,37;0,49;0,00;0,00;0,18;0
